input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-5,PC,Mang-1,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,F,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,CMI,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,QSS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,MSC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,CS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,RS,Mang-1,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,IC,Mang-1,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,SFR,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,EU,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,EIS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,SR,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,PC,Mang-1,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,F,Mang-1,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,CMI,Mang-1,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,QSS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,MSC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,CS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N8,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,RS,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,IC,Mang-2,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SFR,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EU,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EIS,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SR,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,PC,Mang-2,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,F,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CMI,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K12,1–9 alternative performance rating; public raw supplement
