alternative,criterion,rough_low,rough_high,normalized_low,normalized_high,weight_low,weight_high,direction
SFT-2,IC,2.78231292517007,4.33469387755102,0.372495446265938,0.580327868852459,0.063,0.064,cost
SFT-2,PC,6.02040816326531,6.26530612244898,0.68287037037037,0.710648148148148,0.303,0.347,cost
SFT-2,MSC,6.02040816326531,6.83673469387755,0.694117647058824,0.788235294117647,0.16,0.19,cost
SFT-3,EIS,3.36734693877551,4.3469387755102,0.403422982885086,0.520782396088019,0.026,0.03,benefit
SFT-3,SR,5.36734693877551,6.3469387755102,0.632211538461538,0.747596153846154,0.052,0.061,benefit
SFT-3,CMI,5.16326530612245,5.97959183673469,0.689373297002725,0.798365122615804,0.012,0.013,benefit
SFT-3,CS,5.48877551020408,7.11054421768708,0.690944123314066,0.895097409548277,0.031,0.04,benefit
SFT-3,EU,4.71836734693878,6.73469387755102,0.603655352480418,0.861618798955614,0.092,0.128,benefit
SFT-3,RS,4.85884353741497,6.01360544217687,0.551118827160494,0.682098765432099,0.068,0.094,benefit
SFT-3,SFR,3.70612244897959,5.53469387755102,0.436188951160929,0.651401120896717,0.013,0.018,benefit
SFT-3,QSS,5.31632653061224,6.12755102040816,0.626201923076923,0.721754807692308,0.032,0.043,benefit
SFT-3,F,5.3265306122449,5.81632653061224,0.627403846153846,0.685096153846154,0.049,0.075,benefit
SFT-3,IC,3.33673469387755,4.43877551020408,0.44672131147541,0.594262295081967,0.063,0.064,cost
SFT-3,PC,5.08163265306122,5.48979591836735,0.576388888888889,0.622685185185185,0.303,0.347,cost
SFT-3,MSC,6.08163265306122,6.48979591836735,0.701176470588235,0.748235294117647,0.16,0.19,cost
SFT-4,EIS,4.30612244897959,6.26530612244898,0.515892420537897,0.750611246943765,0.026,0.03,benefit
SFT-4,SR,5.65986394557823,7.51020408163265,0.666666666666667,0.884615384615384,0.052,0.061,benefit
SFT-4,CMI,7.08163265306122,7.48979591836735,0.94550408719346,1,0.012,0.013,benefit
SFT-4,CS,6.3265306122449,6.81632653061224,0.796403339755941,0.85806037251124,0.031,0.04,benefit
SFT-4,EU,5.35374149659864,6.98639455782313,0.684943429068755,0.893820713664056,0.092,0.128,benefit
SFT-4,RS,4.78367346938776,5.49659863945578,0.542592592592593,0.623456790123457,0.068,0.094,benefit
SFT-4,SFR,3.97789115646259,6.83843537414966,0.468174539631705,0.80484387510008,0.013,0.018,benefit
SFT-4,QSS,4.73469387755102,6.69387755102041,0.557692307692308,0.788461538461538,0.032,0.043,benefit
SFT-4,F,4.56462585034014,6.53469387755102,0.537660256410256,0.769711538461538,0.049,0.075,benefit
SFT-4,IC,4.00408163265306,5.37551020408163,0.536065573770492,0.719672131147541,0.063,0.064,cost
SFT-4,PC,3.3265306122449,3.81632653061224,0.377314814814815,0.43287037037037,0.303,0.347,cost
SFT-4,MSC,5.51020408163265,5.91836734693878,0.635294117647059,0.682352941176471,0.16,0.19,cost
SFT-5,EIS,5.36734693877551,6.3469387755102,0.643031784841076,0.76039119804401,0.026,0.03,benefit
SFT-5,SR,5.36734693877551,6.3469387755102,0.632211538461538,0.747596153846154,0.052,0.061,benefit
SFT-5,CMI,7.02040816326531,7.26530612244898,0.93732970027248,0.970027247956403,0.012,0.013,benefit
SFT-5,CS,6.18367346938776,6.6734693877551,0.778420038535646,0.840077071290944,0.031,0.04,benefit
SFT-5,EU,6.18367346938776,6.6734693877551,0.7911227154047,0.85378590078329,0.092,0.128,benefit
SFT-5,RS,4.85884353741497,6.01360544217687,0.551118827160494,0.682098765432099,0.068,0.094,benefit
SFT-5,SFR,4.63265306122449,7.08163265306122,0.545236188951161,0.833466773418735,0.013,0.018,benefit
SFT-5,QSS,5.30612244897959,7.26530612244898,0.625,0.855769230769231,0.032,0.043,benefit
SFT-5,F,4.30612244897959,6.26530612244898,0.507211538461538,0.737980769230769,0.049,0.075,benefit
SFT-5,IC,4.46938775510204,6.0530612244898,0.598360655737705,0.810382513661202,0.063,0.064,cost
SFT-5,PC,3.70408163265306,4.85034013605442,0.420138888888889,0.550154320987654,0.303,0.347,cost
SFT-5,MSC,5.3265306122449,5.81632653061224,0.614117647058824,0.670588235294118,0.16,0.19,cost
SFT-6,EIS,4.3265306122449,5.95918367346939,0.518337408312958,0.713936430317848,0.026,0.03,benefit
SFT-6,SR,4.38367346938776,5.89115646258503,0.516346153846154,0.693910256410256,0.052,0.061,benefit
SFT-6,CMI,5.08163265306122,5.48979591836735,0.678474114441417,0.732970027247956,0.012,0.013,benefit
SFT-6,CS,4.3265306122449,5.95918367346939,0.544637122671805,0.750160565189467,0.031,0.04,benefit
SFT-6,EU,3.63265306122449,5.25510204081633,0.464751958224543,0.672323759791123,0.092,0.128,benefit
SFT-6,RS,4.78367346938776,5.49659863945578,0.542592592592593,0.623456790123457,0.068,0.094,benefit
SFT-6,SFR,4.24489795918367,5.46938775510204,0.499599679743795,0.643714971977582,0.013,0.018,benefit
SFT-6,QSS,5.16326530612245,5.97959183673469,0.608173076923077,0.704326923076923,0.032,0.043,benefit
SFT-6,F,5.08163265306122,5.48979591836735,0.598557692307692,0.646634615384615,0.049,0.075,benefit
SFT-6,IC,5.04761904761905,6.89523809523809,0.675774134790528,0.923132969034608,0.063,0.064,cost
SFT-6,PC,3.18367346938776,3.6734693877551,0.361111111111111,0.416666666666667,0.303,0.347,cost
SFT-6,MSC,4.36734693877551,5.3469387755102,0.503529411764706,0.616470588235294,0.16,0.19,cost
