NP_ID,configuration_or_branch,deleted_criterion,operation_type,status,baseline_winner_retained,exact_winner_set,baseline_top2_both_retained,baseline_top2_overlap_share,MARD,Kendall_tau_b,complete_weak_order,terminal_score_vector,baseline_recommendation_set_retained,baseline_A2_in_recommendation_set,exact_native_recommendation_set,top_Q_leader_set_SECONDARY,C1_acceptable_advantage,C2_acceptable_stability,native_solver_status,native_solver_objective,method_note
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP12,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0.333333333333333,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys1:Ci=0.45266049804238;ERPsys2:Ci=0.454121969143259;ERPsys3:Ci=0.665415076118874;ERPsys4:Ci=0.463271052746074,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP13,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0.5,0.666666666666667,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys1:Ci=0.445793906557522;ERPsys2:Ci=0.474050103442694;ERPsys3:Ci=0.641326791457905;ERPsys4:Ci=0.45420680236333,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP14,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0.5,0.666666666666667,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys1:Ci=0.448348200671186;ERPsys2:Ci=0.474137042761032;ERPsys3:Ci=0.630231506490152;ERPsys4:Ci=0.452719140537077,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP15,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.454082991895626;ERPsys2:Ci=0.470560136440957;ERPsys3:Ci=0.626578851723252;ERPsys4:Ci=0.451837574328774,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP01,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,ERPsys2,NO,0.5,1,0.333333333333333,ERPsys2 > ERPsys1 > ERPsys3 > ERPsys4,ERPsys1:Ci=0.544275775664737;ERPsys2:Ci=0.544441637672881;ERPsys3:Ci=0.539536434401167;ERPsys4:Ci=0.505686131109609,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP02,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.531348684674035;ERPsys2:Ci=0.531481608858875;ERPsys3:Ci=0.536712296086955;ERPsys4:Ci=0.530192683354259,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP03,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,ERPsys1:Ci=0.519527581888101;ERPsys2:Ci=0.510620776581897;ERPsys3:Ci=0.566939419237368;ERPsys4:Ci=0.556099602484516,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP04,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.491229619780389;ERPsys2:Ci=0.510211765162287;ERPsys3:Ci=0.60324034798964;ERPsys4:Ci=0.479941777516918,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP05,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,ERPsys2,YES,1,0.5,0.666666666666667,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.512392339918753;ERPsys2:Ci=0.631142245843685;ERPsys3:Ci=0.534372232084755;ERPsys4:Ci=0.454883188103766,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP06,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,ERPsys2,YES,1,0.5,0.666666666666667,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.530942381949204;ERPsys2:Ci=0.553102503275637;ERPsys3:Ci=0.542176373929342;ERPsys4:Ci=0.523730381522239,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
