NP_ID,configuration_or_branch,delta,distribution_type,label,count,frequency,note
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,ERP04_COST_PARALLEL,0.20,EXACT_WINNER_SET,ERPsys1,1675,0.167500000000,
NP03,ERP04_COST_PARALLEL,0.20,EXACT_WINNER_SET,ERPsys2,3332,0.333200000000,
NP03,ERP04_COST_PARALLEL,0.20,EXACT_WINNER_SET,ERPsys3,4855,0.485500000000,
NP03,ERP04_COST_PARALLEL,0.20,EXACT_WINNER_SET,ERPsys4,138,0.013800000000,
NP03,ERP04_COST_PARALLEL,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,1675,0.167500000000,
NP03,ERP04_COST_PARALLEL,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,3332,0.333200000000,
NP03,ERP04_COST_PARALLEL,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,4855,0.485500000000,
NP03,ERP04_COST_PARALLEL,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,138,0.013800000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,EXACT_WINNER_SET,ERPsys2,2,0.000200000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,EXACT_WINNER_SET,ERPsys3,9998,0.999800000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,2,0.000200000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,9998,0.999800000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,ERP04_COST_PARALLEL,0.30,EXACT_WINNER_SET,ERPsys1,1998,0.199800000000,
NP03,ERP04_COST_PARALLEL,0.30,EXACT_WINNER_SET,ERPsys2,3195,0.319500000000,
NP03,ERP04_COST_PARALLEL,0.30,EXACT_WINNER_SET,ERPsys3,4335,0.433500000000,
NP03,ERP04_COST_PARALLEL,0.30,EXACT_WINNER_SET,ERPsys4,472,0.047200000000,
NP03,ERP04_COST_PARALLEL,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,1998,0.199800000000,
NP03,ERP04_COST_PARALLEL,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,3195,0.319500000000,
NP03,ERP04_COST_PARALLEL,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,4335,0.433500000000,
NP03,ERP04_COST_PARALLEL,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,472,0.047200000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,EXACT_WINNER_SET,ERPsys1,19,0.001900000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,EXACT_WINNER_SET,ERPsys2,79,0.007900000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,EXACT_WINNER_SET,ERPsys3,9902,0.990200000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,19,0.001900000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,79,0.007900000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,9902,0.990200000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,ERP04_COST_PARALLEL,0.40,EXACT_WINNER_SET,ERPsys1,2211,0.221100000000,
NP03,ERP04_COST_PARALLEL,0.40,EXACT_WINNER_SET,ERPsys2,3086,0.308600000000,
NP03,ERP04_COST_PARALLEL,0.40,EXACT_WINNER_SET,ERPsys3,4115,0.411500000000,
NP03,ERP04_COST_PARALLEL,0.40,EXACT_WINNER_SET,ERPsys4,588,0.058800000000,
NP03,ERP04_COST_PARALLEL,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,2211,0.221100000000,
NP03,ERP04_COST_PARALLEL,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,3086,0.308600000000,
NP03,ERP04_COST_PARALLEL,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,4115,0.411500000000,
NP03,ERP04_COST_PARALLEL,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,588,0.058800000000,
NP05,p-HFC_CE-I_Hamming,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
